Order Date,Region,State,City,Category,Sub-Category,Sales,Profit,Quantity,Customer Name,Segment
01-01-2023,South,Tennessee,Knoxville,Technology,Phones,1750.1,615.5,2,Robert Martin,Corporate
01-01-2023,South,Georgia,Columbus,Office Supplies,Binders,109.87,32.9,4,Donald Davis,Home Office
01-01-2023,West,Oregon,Salem,Office Supplies,Envelopes,700.36,197.16,5,Richard Moore,Corporate
01-01-2023,West,Colorado,Colorado Springs,Furniture,Furnishings,565.01,244.22,3,Thomas Williams,Consumer
01-01-2023,East,New York,Buffalo,Office Supplies,Storage,24.24,6.33,2,Andrew Gonzalez,Corporate
01-01-2023,East,Ohio,Columbus,Technology,Accessories,3638.69,1296.08,4,Richard Lopez,Home Office
01-01-2023,West,Oregon,Salem,Furniture,Chairs,4355.96,1621.39,9,Mark Anderson,Corporate
01-01-2023,Central,Indiana,Evansville,Office Supplies,Art,79.41,26.84,4,Mary Hernandez,Corporate
02-01-2023,South,Tennessee,Knoxville,Office Supplies,Art,460.33,176.07,4,Daniel Anderson,Corporate
02-01-2023,West,Washington,Seattle,Office Supplies,Storage,911.81,215.8,8,David Taylor,Corporate
02-01-2023,East,Ohio,Cleveland,Furniture,Tables,533.68,204.73,4,Steven Miller,Home Office
02-01-2023,Central,Illinois,Aurora,Office Supplies,Binders,500.11,233.87,5,Thomas Williams,Home Office
02-01-2023,Central,Wisconsin,Green Bay,Technology,Accessories,5737.6,1832.73,5,John Jones,Consumer
02-01-2023,Central,Texas,Austin,Office Supplies,Paper,99.99,13.23,1,Robert Williams,Consumer
02-01-2023,East,Pennsylvania,Pittsburgh,Office Supplies,Storage,152.04,-27.02,4,Steven Martin,Home Office
02-01-2023,West,Arizona,Phoenix,Technology,Phones,414.77,169.5,2,Christopher Moore,Corporate
02-01-2023,Central,Michigan,Detroit,Technology,Phones,3816.19,-707.19,5,Daniel Taylor,Corporate
02-01-2023,West,Washington,Spokane,Furniture,Furnishings,121.98,51.67,1,Thomas Rodriguez,Corporate
02-01-2023,East,New Jersey,Newark,Office Supplies,Art,712.7,122.56,7,Charles Jones,Home Office
03-01-2023,South,North Carolina,Raleigh,Furniture,Furnishings,306.34,107.13,1,Paul Gonzalez,Consumer
03-01-2023,South,Virginia,Richmond,Office Supplies,Appliances,98.07,18.96,1,Joseph Martinez,Corporate
03-01-2023,Central,Illinois,Naperville,Furniture,Furnishings,1035.27,-208.46,3,Daniel Taylor,Home Office
03-01-2023,South,Florida,Tampa,Technology,Accessories,6151.74,-932.94,9,Jane Martin,Corporate
03-01-2023,West,Oregon,Eugene,Office Supplies,Art,501.13,51.79,5,Matthew Jackson,Home Office
03-01-2023,East,Pennsylvania,Pittsburgh,Office Supplies,Envelopes,148.22,37.61,1,Jane Lopez,Consumer
03-01-2023,South,Virginia,Virginia Beach,Furniture,Bookcases,328.47,-37.57,1,Anthony Johnson,Home Office
03-01-2023,South,Virginia,Virginia Beach,Furniture,Tables,847.27,-150.57,2,William Taylor,Corporate
03-01-2023,Central,Indiana,Indianapolis,Office Supplies,Storage,42.48,15.84,5,Daniel Rodriguez,Home Office
03-01-2023,South,Virginia,Richmond,Furniture,Furnishings,1445.59,659.95,3,Mark Anderson,Corporate
04-01-2023,West,Arizona,Tucson,Office Supplies,Art,155.87,28.8,2,Matthew Martin,Corporate
04-01-2023,East,Pennsylvania,Philadelphia,Furniture,Bookcases,185.35,53.99,1,Robert Miller,Corporate
04-01-2023,South,Virginia,Virginia Beach,Furniture,Bookcases,424.71,195.81,1,Paul Rodriguez,Home Office
04-01-2023,Central,Illinois,Aurora,Technology,Copiers,4825.09,642.64,6,Joshua Brown,Corporate
04-01-2023,East,New Jersey,Paterson,Furniture,Bookcases,622.07,228.07,2,Richard Garcia,Corporate
04-01-2023,South,Florida,Orlando,Office Supplies,Envelopes,83.2,32.09,2,David Johnson,Home Office
04-01-2023,West,California,Los Angeles,Technology,Accessories,3743.04,-499.4,5,Daniel Lopez,Consumer
05-01-2023,Central,Wisconsin,Madison,Office Supplies,Art,20.86,3,1,Anthony Davis,Home Office
05-01-2023,West,Arizona,Phoenix,Technology,Phones,3949.7,1052.19,6,Christopher Taylor,Corporate
05-01-2023,West,Arizona,Phoenix,Office Supplies,Paper,463.35,100.49,4,John Smith,Corporate
05-01-2023,South,Georgia,Columbus,Office Supplies,Binders,206.48,80.02,2,Joseph Davis,Home Office
05-01-2023,West,Washington,Tacoma,Furniture,Chairs,527.55,197.74,4,Charles Williams,Home Office
05-01-2023,West,Colorado,Denver,Technology,Phones,1240.87,512.98,4,Mary Lopez,Home Office
05-01-2023,East,Ohio,Cincinnati,Furniture,Furnishings,1428.82,454.49,3,Steven Gonzalez,Home Office
05-01-2023,West,Oregon,Eugene,Office Supplies,Storage,132.78,-18.62,1,John Williams,Corporate
06-01-2023,Central,Texas,San Antonio,Office Supplies,Storage,408.55,141.68,4,Matthew Smith,Corporate
06-01-2023,Central,Texas,Austin,Furniture,Tables,905.37,127.58,3,John Martin,Home Office
06-01-2023,East,Massachusetts,Springfield,Office Supplies,Paper,481.71,81.12,7,Richard Gonzalez,Corporate
06-01-2023,West,Washington,Spokane,Technology,Copiers,151.61,39.28,1,Thomas Jackson,Corporate
06-01-2023,South,Tennessee,Knoxville,Technology,Machines,2368.7,488.08,4,Anthony Jones,Corporate
06-01-2023,West,Oregon,Eugene,Technology,Accessories,938.67,-92.55,2,Mark Miller,Corporate
06-01-2023,East,New Jersey,Paterson,Office Supplies,Paper,411.24,-60.37,9,Mark Williams,Home Office
06-01-2023,East,New Jersey,Jersey City,Technology,Machines,2039.06,389.75,5,Mark Martinez,Consumer
06-01-2023,East,Ohio,Columbus,Furniture,Bookcases,385.89,120.37,3,Thomas Williams,Consumer
06-01-2023,West,Oregon,Salem,Technology,Machines,1084.89,262.77,2,Joseph Martinez,Home Office
06-01-2023,East,Ohio,Cleveland,Furniture,Tables,768.18,105.93,2,Anthony Thomas,Home Office
06-01-2023,East,New York,New York City,Office Supplies,Appliances,219.68,-41.06,3,Steven Wilson,Consumer
07-01-2023,East,Pennsylvania,Philadelphia,Furniture,Chairs,849.13,216.37,6,Matthew Gonzalez,Consumer
07-01-2023,West,Arizona,Phoenix,Furniture,Bookcases,417.46,109.97,6,Jane Martinez,Corporate
07-01-2023,West,Arizona,Tucson,Office Supplies,Envelopes,219.96,108.99,2,Jane Lopez,Consumer
07-01-2023,South,Virginia,Richmond,Technology,Phones,7010.53,1751.07,9,Richard Lopez,Home Office
07-01-2023,South,Georgia,Columbus,Furniture,Furnishings,71.24,15.73,1,Daniel Martin,Corporate
07-01-2023,Central,Wisconsin,Milwaukee,Furniture,Tables,792.79,355.48,2,John Martin,Consumer
07-01-2023,East,Pennsylvania,Allentown,Office Supplies,Binders,178.13,62.77,2,David Anderson,Consumer
07-01-2023,Central,Indiana,Fort Wayne,Technology,Accessories,503.3,180.62,1,Jane Lopez,Corporate
07-01-2023,West,Colorado,Colorado Springs,Technology,Phones,2556.37,1110.6,3,Joshua Martinez,Home Office
07-01-2023,Central,Michigan,Detroit,Furniture,Bookcases,2222.94,281.33,4,Steven Miller,Home Office
07-01-2023,Central,Wisconsin,Milwaukee,Office Supplies,Appliances,55.86,25.52,1,Robert Smith,Corporate
07-01-2023,West,Oregon,Portland,Office Supplies,Paper,123.97,29.87,1,Steven Martin,Corporate
07-01-2023,South,Tennessee,Nashville,Furniture,Bookcases,737.94,-127.53,3,Thomas Hernandez,Home Office
08-01-2023,South,Tennessee,Nashville,Technology,Phones,3142.7,792.05,3,Matthew Jackson,Consumer
08-01-2023,Central,Michigan,Warren,Office Supplies,Art,492.7,-67.4,6,David Williams,Home Office
08-01-2023,South,North Carolina,Charlotte,Office Supplies,Art,734.01,129.2,14,William Lopez,Consumer
08-01-2023,West,Oregon,Salem,Furniture,Chairs,4847.81,2006.56,9,Mark Anderson,Corporate
08-01-2023,West,California,San Diego,Furniture,Furnishings,1125.52,154.17,2,Anthony Smith,Consumer
08-01-2023,East,Ohio,Cincinnati,Office Supplies,Appliances,137.13,30.74,1,David Johnson,Home Office
08-01-2023,South,Florida,Orlando,Office Supplies,Storage,487.57,58.42,5,Charles Thomas,Consumer
08-01-2023,South,Tennessee,Memphis,Office Supplies,Storage,121.1,17.16,1,Andrew Smith,Corporate
09-01-2023,East,New Jersey,Paterson,Office Supplies,Binders,242.44,117.75,2,Anthony Williams,Consumer
09-01-2023,West,Oregon,Salem,Furniture,Tables,1794.93,543.14,4,Robert Williams,Home Office
09-01-2023,Central,Wisconsin,Milwaukee,Furniture,Chairs,437.1,77.4,1,David Jones,Home Office
09-01-2023,South,Georgia,Columbus,Technology,Accessories,3607.97,426.4,4,Matthew Hernandez,Consumer
09-01-2023,South,Georgia,Augusta,Furniture,Bookcases,476.59,235.31,1,John Martin,Consumer
09-01-2023,South,Tennessee,Nashville,Furniture,Bookcases,135.61,48.58,1,Donald Anderson,Home Office
09-01-2023,East,Massachusetts,Worcester,Office Supplies,Storage,284.94,92.77,2,Joshua Garcia,Consumer
09-01-2023,South,Tennessee,Knoxville,Technology,Machines,4838.61,558.65,5,William Martinez,Consumer
09-01-2023,West,Colorado,Colorado Springs,Furniture,Chairs,2140.36,763.32,4,Joseph Lopez,Home Office
09-01-2023,West,Arizona,Mesa,Technology,Phones,999.75,211.09,1,Steven Gonzalez,Consumer
09-01-2023,East,Ohio,Columbus,Furniture,Chairs,2802.51,-252.08,5,Matthew Lopez,Home Office
09-01-2023,East,New Jersey,Paterson,Technology,Accessories,2030.97,772.14,5,Matthew Smith,Consumer
10-01-2023,South,Tennessee,Knoxville,Technology,Machines,1928.07,731.41,2,Donald Anderson,Home Office
10-01-2023,East,New Jersey,Newark,Furniture,Bookcases,1762.94,-154.08,5,Thomas Williams,Corporate
10-01-2023,South,Tennessee,Memphis,Office Supplies,Storage,75.66,22.66,2,Joshua Hernandez,Consumer
10-01-2023,East,New York,Rochester,Technology,Machines,5699.93,2207.11,7,Anthony Williams,Home Office
10-01-2023,Central,Indiana,Fort Wayne,Office Supplies,Envelopes,183.9,-18.57,2,Charles Moore,Home Office
10-01-2023,Central,Wisconsin,Madison,Furniture,Furnishings,222.16,70.33,2,John Williams,Corporate
10-01-2023,East,Ohio,Cincinnati,Office Supplies,Paper,257.31,39.52,4,David Brown,Home Office
10-01-2023,Central,Wisconsin,Milwaukee,Office Supplies,Appliances,733.18,225.34,5,Joshua Hernandez,Corporate
10-01-2023,Central,Illinois,Aurora,Technology,Accessories,366.25,105.37,5,Jane Martinez,Consumer
11-01-2023,West,California,Sacramento,Furniture,Chairs,367.14,93.5,1,Donald Miller,Consumer
11-01-2023,South,North Carolina,Charlotte,Office Supplies,Art,406.83,98.52,4,Donald Gonzalez,Consumer
11-01-2023,Central,Illinois,Aurora,Office Supplies,Paper,148.32,43.64,1,David Brown,Corporate
11-01-2023,Central,Illinois,Chicago,Furniture,Furnishings,1233.82,191.84,4,Paul Johnson,Home Office
12-01-2023,Central,Illinois,Aurora,Furniture,Chairs,380.99,140.21,1,Paul Rodriguez,Corporate
12-01-2023,Central,Texas,San Antonio,Office Supplies,Paper,144.13,46.78,6,Anthony Rodriguez,Home Office
12-01-2023,Central,Indiana,Fort Wayne,Office Supplies,Binders,200.09,95.41,4,Paul Anderson,Consumer
12-01-2023,Central,Texas,Dallas,Office Supplies,Envelopes,243.02,95.29,2,Andrew Davis,Consumer
12-01-2023,West,California,San Diego,Office Supplies,Binders,324.88,-28.56,3,Jane Lopez,Corporate
12-01-2023,South,Georgia,Atlanta,Furniture,Bookcases,542.18,223.46,1,John Johnson,Home Office
12-01-2023,West,California,San Diego,Office Supplies,Appliances,158.1,70.5,2,David Garcia,Corporate
12-01-2023,West,Oregon,Portland,Technology,Machines,2135.88,-275.34,2,Matthew Smith,Corporate
12-01-2023,Central,Texas,Austin,Technology,Accessories,1627.8,635.86,2,Matthew Taylor,Consumer
12-01-2023,Central,Wisconsin,Madison,Furniture,Tables,2866.37,-374.43,5,Matthew Jackson,Consumer
12-01-2023,West,Oregon,Salem,Office Supplies,Storage,201.09,74.08,4,Joseph Williams,Consumer
12-01-2023,East,Ohio,Cleveland,Furniture,Furnishings,2236.8,931.78,4,Matthew Brown,Consumer
12-01-2023,East,Pennsylvania,Philadelphia,Technology,Accessories,2083.2,504.01,3,Robert Taylor,Home Office
12-01-2023,East,Pennsylvania,Pittsburgh,Office Supplies,Binders,166.77,40.57,3,Matthew Gonzalez,Corporate
12-01-2023,South,North Carolina,Raleigh,Furniture,Tables,900.03,-93.53,4,Joshua Hernandez,Consumer
13-01-2023,West,Oregon,Salem,Technology,Phones,1628.75,717.57,3,Paul Jackson,Corporate
13-01-2023,West,Colorado,Denver,Technology,Copiers,3150.79,1541.32,5,Donald Anderson,Consumer
13-01-2023,West,Arizona,Phoenix,Technology,Phones,949.71,173.9,6,Mary Moore,Home Office
13-01-2023,West,Oregon,Eugene,Furniture,Chairs,1222.81,488.29,4,Joseph Brown,Corporate
13-01-2023,West,Oregon,Portland,Office Supplies,Binders,75.23,17,2,John Jackson,Corporate
13-01-2023,East,New York,Rochester,Technology,Phones,5858.79,1613.16,6,Daniel Rodriguez,Consumer
13-01-2023,East,Pennsylvania,Allentown,Technology,Accessories,771.25,345.79,6,Joshua Davis,Consumer
